date,covid,covid_unsmoothed,lower_ci,upper_ci,level,activity_category
2024-05-24,454.38390736565384,176.52265572582286,139.68597996989482,213.35933148175087,high,not calculated
2024-05-27,353.7584503423617,756.2250304912343,266.0434176317019,1246.406643350767,high,not calculated
2024-05-28,371.4795534643201,318.04031312945995,272.0688026617124,364.0118235972074,high,not calculated
2024-05-29,469.8811583805869,454.3486594213577,224.70969333312848,683.9876255095869,high,not calculated
2024-05-31,371.4795534643201,342.04968784214276,249.88127136024778,434.21810432403777,high,not calculated
2024-06-03,469.8811583805869,613.2451278782603,485.0944036300559,741.3958521264645,high,not calculated
2024-06-05,400.326603488521,235.00564604799723,120.17432235851913,349.83696973747533,high,not calculated
2024-06-07,414.46652231908547,664.2703274195715,597.1251900836796,731.4154647554634,high,not calculated
2024-06-10,348.806737734562,245.68499474515997,172.2716539493797,319.0983355409403,high,not calculated
2024-06-12,488.33518195936585,384.4694443338363,289.675434981545,479.2634536861276,high,not calculated
2024-06-14,366.1594251416295,416.2657741246897,346.35261482679226,486.1789334225872,high,not calculated
2024-06-17,562.9138107861648,2827.9381314880707,2472.5049584435187,3183.371304532623,high,not calculated
2024-06-19,541.1377200612311,297.7430569663626,248.41465060055106,347.0714633321742,high,not calculated
2024-06-21,725.5721102703509,888.0062138999684,764.0369977497741,1011.975430050163,high,not calculated
2024-06-24,679.1246293190194,319.1411721590354,289.46256616931896,348.8197781487519,high,not calculated
2024-06-26,895.9338868500238,969.5689447520489,843.0717043737229,1096.0661851303748,high,not calculated
2024-06-28,766.71817181639085,830.2265018980539,664.0393505951117,996.4136532009961,high,not calculated
2024-07-01,766.71817181639085,1213.1164527518354,1100.4608754662545,1325.7720300374162,high,not calculated
2024-07-03,598.6292389658404,500.3590687990696,391.5200688650847,609.1980687330545,high,not calculated
2024-07-05,680.0594971239287,348.82344225549014,289.7642358243219,407.88264868665846,high,not calculated
2024-07-08,665.7787847602903,465.30214620039766,323.55593344181386,607.0483589589815,high,not calculated
2024-07-10,857.1648539513734,1074.5172763723187,826.9312872434507,1322.1032655011868,high,not calculated
2024-07-12,906.5366270325184,1031.6751392814035,805.3573633773951,1257.9929151854121,high,not calculated
2024-07-15,1092.163713590319,1170.2987251172356,967.2154397853261,1373.382010449145,high,not calculated
2024-07-17,1062.0752309865916,613.4174654438328,441.87476809870356,784.9601627889622,high,not calculated
2024-07-22,999.4796642735753,1269.9347543024587,1056.5980578347853,1483.271450770132,high,not calculated
2024-07-24,816.8657838827038,984.2518285611355,825.1697363023255,1143.3339208199454,high,not calculated
2024-07-26,864.0095075208001,843.8884391423553,695.5355241800124,992.2413541046983,high,not calculated
2024-07-29,794.6208994064522,622.4570839446205,538.6359242061359,706.2782436831052,high,not calculated
